"국사비","검사실명","검사종류","진료과순번","진료과명","접수월","횟수"
"사비","일반검사","Abdomen","1","내과","3월","6"
"사비","일반검사","Chest","1","내과","3월","121"
"사비","일반검사","Spine","1","내과","3월","10"
"사비","초음파검사","Abdomen","1","내과","3월","12"
"사비","초음파검사","Doppler","1","내과","3월","2"
"사비","초음파검사","Head & Neck","1","내과","3월","3"
"사비","CT검사","Abdomen & Pelvis","1","내과","4월","24"
"사비","CT검사","Chest","1","내과","4월","3"
"사비","PACS실","Others","1","내과","4월","2"
"사비","골밀도","골밀도","1","내과","4월","15"
"사비","기타","Abdomen","1","내과","4월","1"
"사비","기타","Chest","1","내과","4월","2"
"사비","일반검사","Abdomen","1","내과","4월","20"
"사비","일반검사","Chest","1","내과","4월","231"
"사비","일반검사","Lower. Ext.","1","내과","4월","4"
"사비","일반검사","Spine","1","내과","4월","10"
"사비","CT검사","Abdomen & Pelvis","1","내과","5월","21"
"사비","CT검사","Chest","1","내과","5월","5"
"사비","PACS실","Others","1","내과","5월","1"
"사비","골밀도","골밀도","1","내과","5월","4"
"사비","일반검사","Abdomen","1","내과","5월","11"
"사비","일반검사","Chest","1","내과","5월","176"
"사비","일반검사","Skull","1","내과","5월","3"
"사비","일반검사","Spine","1","내과","5월","10"
"사비","CT검사","Abdomen & Pelvis","1","내과","6월","18"
"사비","CT검사","Chest","1","내과","6월","9"
"사비","MRI검사","Abdomen & Pelvis","1","내과","6월","3"
"사비","PACS실","Others","1","내과","6월","1"
"사비","골밀도","골밀도","1","내과","6월","15"
"사비","기타","Abdomen","1","내과","6월","1"
"사비","기타","Chest","1","내과","6월","1"
"사비","일반검사","Abdomen","1","내과","6월","20"
"사비","일반검사","Chest","1","내과","6월","208"
"사비","CT검사","Abdomen & Pelvis","1","내과","7월","33"
"사비","CT검사","Chest","1","내과","7월","7"
"사비","MRI검사","Abdomen & Pelvis","1","내과","7월","3"
"사비","PACS실","Others","1","내과","7월","3"
"사비","골밀도","골밀도","1","내과","7월","4"
"사비","기타","Chest","1","내과","7월","1"
"사비","일반검사","Abdomen","1","내과","7월","35"
"사비","일반검사","Chest","1","내과","7월","223"
"사비","CT검사","Abdomen & Pelvis","1","내과","8월","21"
"사비","CT검사","Chest","1","내과","8월","4"
"사비","PACS실","Others","1","내과","8월","1"
"사비","골밀도","골밀도","1","내과","8월","10"
"사비","기타","Chest","1","내과","8월","1"
"사비","일반검사","Abdomen","1","내과","8월","20"
"사비","일반검사","Chest","1","내과","8월","154"
"사비","일반검사","Lower. Ext.","1","내과","8월","10"
"사비","일반검사","Skull","1","내과","8월","3"
"사비","일반검사","Spine","1","내과","8월","6"
"사비","CT검사","Abdomen & Pelvis","1","내과","9월","26"
"사비","CT검사","Chest","1","내과","9월","1"
"사비","CT검사","Head & Neck","1","내과","9월","1"
"사비","MRI검사","Abdomen & Pelvis","1","내과","9월","1"
"사비","PACS실","Others","1","내과","9월","4"
"사비","골밀도","골밀도","1","내과","9월","2"
"사비","기타","Abdomen","1","내과","9월","3"
"사비","기타","Chest","1","내과","9월","7"
"사비","응급실","Chest","1","내과","9월","2"
"사비","일반검사","Abdomen","1","내과","9월","29"
"사비","일반검사","Chest","1","내과","9월","138"
"사비","일반검사","Lower. Ext.","1","내과","9월","11"
"사비","일반검사","Skull","1","내과","9월","7"
"사비","CT검사","Abdomen & Pelvis","1","내과","10월","27"
"사비","CT검사","Chest","1","내과","10월","2"
"사비","PACS실","Others","1","내과","10월","1"
"사비","골밀도","골밀도","1","내과","10월","12"
"사비","기타","Abdomen","1","내과","10월","1"
"사비","기타","Chest","1","내과","10월","2"
"사비","일반검사","Abdomen","1","내과","10월","17"
"사비","일반검사","Chest","1","내과","10월","137"
"사비","초음파검사","Abdomen","1","내과","10월","7"
"사비","CT검사","Abdomen & Pelvis","1","내과","11월","34"
"사비","CT검사","Chest","1","내과","11월","4"
"사비","MRI검사","Abdomen & Pelvis","1","내과","11월","3"
"사비","PACS실","Others","1","내과","11월","2"
"사비","골밀도","골밀도","1","내과","11월","4"
"사비","일반검사","Abdomen","1","내과","11월","33"
"사비","일반검사","Chest","1","내과","11월","172"
"사비","초음파검사","Abdomen","1","내과","11월","18"
"사비","초음파검사","Doppler","1","내과","11월","2"
"사비","초음파검사","Head & Neck","1","내과","11월","2"
"사비","CT검사","Abdomen & Pelvis","1","내과","12월","25"
"사비","CT검사","Chest","1","내과","12월","4"
"사비","MRI검사","Abdomen & Pelvis","1","내과","12월","1"
"사비","PACS실","Others","1","내과","12월","1"
"사비","골밀도","골밀도","1","내과","12월","6"
"사비","기타","Abdomen","1","내과","12월","2"
"사비","기타","Chest","1","내과","12월","6"
"사비","일반검사","Abdomen","1","내과","12월","39"
"사비","일반검사","Chest","1","내과","12월","152"
"사비","초음파검사","Abdomen","1","내과","12월","17"
"사비","초음파검사","Head & Neck","1","내과","12월","1"
"국비","CT검사","Chest","4","호흡기내과","1월","32"
"국비","PACS실","Others","4","호흡기내과","1월","1"
"국비","기타","Chest","4","호흡기내과","1월","4"
"국비","일반검사","Chest","4","호흡기내과","1월","136"
"국비","초음파검사","Abdomen","4","호흡기내과","1월","1"
"국비","CT검사","Chest","4","호흡기내과","2월","23"
"국비","PACS실","Others","4","호흡기내과","2월","1"
"국비","기타","Chest","4","호흡기내과","2월","1"
"국비","일반검사","Chest","4","호흡기내과","2월","88"
"국비","CT검사","Chest","4","호흡기내과","3월","24"
"국비","일반검사","Chest","4","호흡기내과","3월","88"
"국비","CT검사","Chest","4","호흡기내과","4월","23"
"국비","CT검사","Head & Neck","4","호흡기내과","4월","1"
"국비","일반검사","Chest","4","호흡기내과","4월","99"
"국비","CT검사","Chest","4","호흡기내과","5월","23"
"국비","일반검사","Chest","4","호흡기내과","5월","87"
"국비","CT검사","Chest","4","호흡기내과","6월","6"
"국비","일반검사","Chest","4","호흡기내과","6월","80"
"국비","CT검사","Chest","4","호흡기내과","7월","9"
"국비","응급실","Chest","4","호흡기내과","7월","2"
"국비","일반검사","Chest","4","호흡기내과","7월","96"
"국비","CT검사","Chest","4","호흡기내과","8월","15"
"국비","기타","Chest","4","호흡기내과","8월","2"
"국비","일반검사","Chest","4","호흡기내과","8월","90"
"국비","일반검사","Skull","4","호흡기내과","8월","3"
"국비","CT검사","Chest","4","호흡기내과","9월","15"
"국비","일반검사","Chest","4","호흡기내과","9월","72"
"국비","CT검사","Chest","4","호흡기내과","10월","17"
"국비","PACS실","Others","4","호흡기내과","10월","1"
"국비","기타","Abdomen","4","호흡기내과","10월","1"
"국비","기타","Chest","4","호흡기내과","10월","3"
"국비","일반검사","Chest","4","호흡기내과","10월","74"
"국비","초음파검사","Abdomen","4","호흡기내과","10월","1"
"국비","CT검사","Chest","4","호흡기내과","11월","27"
"국비","PACS실","Others","4","호흡기내과","11월","2"
"국비","일반검사","Chest","4","호흡기내과","11월","130"
"국비","초음파검사","Abdomen","4","호흡기내과","11월","1"
"국비","CT검사","Chest","4","호흡기내과","12월","19"
"국비","일반검사","Chest","4","호흡기내과","12월","136"
"사비","CT검사","Abdomen & Pelvis","4","호흡기내과","1월","1"
"사비","CT검사","Chest","4","호흡기내과","1월","50"
"사비","MRI검사","Head & Neck","4","호흡기내과","1월","1"
"사비","PACS실","Others","4","호흡기내과","1월","2"
"사비","기타","Chest","4","호흡기내과","1월","10"
"사비","일반검사","Abdomen","4","호흡기내과","1월","5"
"사비","일반검사","Chest","4","호흡기내과","1월","293"
"사비","초음파검사","Abdomen","4","호흡기내과","1월","2"
"사비","CT검사","Chest","4","호흡기내과","2월","41"
"사비","기타","Chest","4","호흡기내과","2월","2"
"사비","일반검사","Chest","4","호흡기내과","2월","234"
"사비","일반검사","Skull","4","호흡기내과","2월","3"
"사비","초음파검사","Abdomen","4","호흡기내과","2월","2"
"사비","초음파검사","Doppler","4","호흡기내과","2월","1"
"사비","CT검사","Abdomen & Pelvis","4","호흡기내과","3월","1"
"사비","CT검사","Chest","4","호흡기내과","3월","47"
"사비","골밀도","골밀도","4","호흡기내과","3월","2"
"사비","기타","Abdomen","4","호흡기내과","3월","1"
"사비","기타","Chest","4","호흡기내과","3월","5"
"사비","일반검사","Abdomen","4","호흡기내과","3월","2"
"사비","일반검사","Chest","4","호흡기내과","3월","246"
"사비","일반검사","Lower. Ext.","4","호흡기내과","3월","3"
"사비","일반검사","Spine","4","호흡기내과","3월","8"
"사비","CT검사","Chest","4","호흡기내과","4월","42"
"사비","기타","Chest","4","호흡기내과","4월","12"
"사비","일반검사","Chest","4","호흡기내과","4월","186"
"사비","일반검사","Skull","4","호흡기내과","4월","3"
"사비","CT검사","Chest","4","호흡기내과","5월","53"
"사비","PACS실","Others","4","호흡기내과","5월","2"
"사비","기타","Chest","4","호흡기내과","5월","9"
"사비","일반검사","Abdomen","4","호흡기내과","5월","3"
"사비","일반검사","Chest","4","호흡기내과","5월","290"
"사비","일반검사","Skull","4","호흡기내과","5월","3"
"사비","CT검사","Chest","4","호흡기내과","6월","24"
"사비","PACS실","Others","4","호흡기내과","6월","2"
"사비","기타","Chest","4","호흡기내과","6월","3"
"사비","일반검사","Chest","4","호흡기내과","6월","257"
"사비","CT검사","Chest","4","호흡기내과","7월","15"
"사비","골밀도","골밀도","4","호흡기내과","7월","2"
"사비","응급실","Chest","4","호흡기내과","7월","6"
"사비","일반검사","Chest","4","호흡기내과","7월","261"
"사비","CT검사","Chest","4","호흡기내과","8월","48"
"사비","CT검사","Head & Neck","4","호흡기내과","8월","1"
"사비","기타","Chest","4","호흡기내과","8월","16"
"사비","일반검사","Chest","4","호흡기내과","8월","260"
"사비","일반검사","Skull","4","호흡기내과","8월","4"
"사비","CT검사","Chest","4","호흡기내과","9월","25"
"사비","PACS실","Others","4","호흡기내과","9월","2"
"사비","기타","Chest","4","호흡기내과","9월","10"
"사비","일반검사","Chest","4","호흡기내과","9월","202"
"사비","일반검사","Spine","4","호흡기내과","9월","2"
"사비","CT검사","Chest","4","호흡기내과","10월","29"
"사비","PACS실","Others","4","호흡기내과","10월","1"
"사비","기타","Chest","4","호흡기내과","10월","1"
"사비","일반검사","Chest","4","호흡기내과","10월","172"
"사비","CT검사","Chest","4","호흡기내과","11월","31"
"사비","기타","Chest","4","호흡기내과","11월","10"
"사비","일반검사","Chest","4","호흡기내과","11월","188"
"사비","초음파검사","Abdomen","4","호흡기내과","11월","1"
"사비","CT검사","Chest","4","호흡기내과","12월","41"
"사비","기타","Abdomen","4","호흡기내과","12월","1"
"사비","기타","Chest","4","호흡기내과","12월","5"
"사비","일반검사","Chest","4","호흡기내과","12월","174"
"사비","일반검사","Skull","4","호흡기내과","12월","3"
"국비","CT검사","Chest","5","내분비내과","4월","1"
"국비","CT검사","Head & Neck","5","내분비내과","4월","1"
"국비","CT검사","Abdomen & Pelvis","5","내분비내과","5월","1"
"국비","CT검사","Head & Neck","5","내분비내과","6월","1"
"국비","CT검사","Chest","5","내분비내과","11월","1"
"국비","CT검사","Head & Neck","5","내분비내과","11월","3"
"국비","MRI검사","Abdomen & Pelvis","5","내분비내과","11월","1"
"국비","골밀도","골밀도","5","내분비내과","11월","2"
"국비","초음파검사","Head & Neck","5","내분비내과","11월","1"
"국비","CT검사","Abdomen & Pelvis","5","내분비내과","12월","4"
"국비","CT검사","Chest","5","내분비내과","12월","3"
"사비","CT검사","Abdomen & Pelvis","5","내분비내과","4월","1"
"사비","골밀도","골밀도","5","내분비내과","5월","4"
"사비","골밀도","골밀도","5","내분비내과","6월","8"
"사비","골밀도","골밀도","5","내분비내과","7월","2"
"사비","CT검사","Abdomen & Pelvis","5","내분비내과","9월","2"
"사비","골밀도","골밀도","5","내분비내과","9월","2"
"사비","골밀도","골밀도","5","내분비내과","10월","2"
"사비","초음파검사","Head & Neck","5","내분비내과","10월","2"
"사비","CT검사","Abdomen & Pelvis","5","내분비내과","11월","1"
"사비","CT검사","Head & Neck","5","내분비내과","11월","1"
"사비","초음파검사","Head & Neck","5","내분비내과","11월","2"
"사비","CT검사","Abdomen & Pelvis","5","내분비내과","12월","9"
"사비","CT검사","Chest","5","내분비내과","12월","5"
"사비","CT검사","Head & Neck","5","내분비내과","12월","2"
"국비","MRI검사","Head & Neck","6","신경과","1월","42"
"국비","PACS실","Others","6","신경과","1월","1"
"국비","골밀도","골밀도","6","신경과","1월","2"
"국비","일반검사","Chest","6","신경과","1월","20"
"국비","초음파검사","Abdomen","6","신경과","1월","8"
"국비","초음파검사","Doppler","6","신경과","1월","13"
"국비","CT검사","Head & Neck","6","신경과","2월","4"
"국비","MRI검사","Head & Neck","6","신경과","2월","39"
"국비","PACS실","Others","6","신경과","2월","2"
"국비","일반검사","Abdomen","6","신경과","2월","3"
"국비","일반검사","Chest","6","신경과","2월","15"
"국비","초음파검사","Abdomen","6","신경과","2월","1"
"국비","초음파검사","Doppler","6","신경과","2월","12"
"국비","CT검사","Head & Neck","6","신경과","3월","7"
"국비","MRI검사","Head & Neck","6","신경과","3월","32"
"국비","PACS실","Others","6","신경과","3월","3"
"국비","일반검사","Chest","6","신경과","3월","18"
"국비","초음파검사","Abdomen","6","신경과","3월","2"
"국비","초음파검사","Doppler","6","신경과","3월","12"
"국비","CT검사","Head & Neck","6","신경과","4월","2"
"국비","MRI검사","Head & Neck","6","신경과","4월","53"
"국비","PACS실","Others","6","신경과","4월","1"
"국비","기타","Abdomen","6","신경과","4월","1"
"국비","기타","Chest","6","신경과","4월","1"
"국비","일반검사","Abdomen","6","신경과","4월","4"
"국비","일반검사","Chest","6","신경과","4월","36"
"국비","일반검사","Spine","6","신경과","4월","12"
"국비","초음파검사","Abdomen","6","신경과","4월","4"
"국비","초음파검사","Doppler","6","신경과","4월","7"
"국비","CT검사","Head & Neck","6","신경과","5월","4"
"국비","MRI검사","Head & Neck","6","신경과","5월","58"
"국비","PACS실","Others","6","신경과","5월","1"
"국비","일반검사","Chest","6","신경과","5월","22"
"국비","초음파검사","Abdomen","6","신경과","5월","2"
"국비","초음파검사","Doppler","6","신경과","5월","2"
"국비","CT검사","Abdomen & Pelvis","6","신경과","6월","1"
"국비","CT검사","Head & Neck","6","신경과","6월","1"
"국비","MRI검사","Head & Neck","6","신경과","6월","41"
"국비","PACS실","Others","6","신경과","6월","1"
"국비","일반검사","Abdomen","6","신경과","6월","1"
"국비","일반검사","Chest","6","신경과","6월","19"
"국비","CT검사","Head & Neck","6","신경과","7월","2"
"국비","MRI검사","Head & Neck","6","신경과","7월","41"
"국비","PACS실","Others","6","신경과","7월","1"
"국비","골밀도","골밀도","6","신경과","7월","1"
"국비","일반검사","Chest","6","신경과","7월","20"
"국비","CT검사","Head & Neck","6","신경과","8월","6"
"국비","MRI검사","Head & Neck","6","신경과","8월","69"
"국비","PACS실","Others","6","신경과","8월","1"
"국비","일반검사","Chest","6","신경과","8월","22"
"국비","CT검사","Head & Neck","6","신경과","9월","6"
"국비","MRI검사","Head & Neck","6","신경과","9월","57"
"국비","PACS실","Others","6","신경과","9월","1"
"국비","일반검사","Chest","6","신경과","9월","24"
"국비","CT검사","Head & Neck","6","신경과","10월","5"
"국비","MRI검사","Head & Neck","6","신경과","10월","48"
"국비","기타","Abdomen","6","신경과","10월","1"
"국비","기타","Chest","6","신경과","10월","1"
"국비","일반검사","Chest","6","신경과","10월","22"
"국비","초음파검사","Abdomen","6","신경과","10월","4"
"국비","초음파검사","Doppler","6","신경과","10월","6"
"국비","MRI검사","Head & Neck","6","신경과","11월","86"
"국비","일반검사","Chest","6","신경과","11월","22"
"국비","초음파검사","Doppler","6","신경과","11월","6"
"국비","CT검사","Head & Neck","6","신경과","12월","6"
"국비","MRI검사","Head & Neck","6","신경과","12월","43"
"국비","일반검사","Chest","6","신경과","12월","18"
"국비","일반검사","Upper. Ext.","6","신경과","12월","3"
"국비","초음파검사","Doppler","6","신경과","12월","2"
"사비","CT검사","Head & Neck","6","신경과","1월","7"
"사비","MRI검사","Head & Neck","6","신경과","1월","144"
"사비","일반검사","Chest","6","신경과","1월","36"
"사비","일반검사","Upper. Ext.","6","신경과","1월","4"
"사비","초음파검사","Abdomen","6","신경과","1월","5"
"사비","초음파검사","Doppler","6","신경과","1월","43"
"사비","CT검사","Head & Neck","6","신경과","2월","5"
"사비","MRI검사","Head & Neck","6","신경과","2월","98"
"사비","PACS실","Others","6","신경과","2월","1"
"사비","골밀도","골밀도","6","신경과","2월","2"
"사비","일반검사","Chest","6","신경과","2월","20"
"사비","초음파검사","Abdomen","6","신경과","2월","4"
"사비","초음파검사","Doppler","6","신경과","2월","28"
"사비","MRI검사","Head & Neck","6","신경과","3월","122"
"사비","일반검사","Abdomen","6","신경과","3월","2"
"사비","일반검사","Chest","6","신경과","3월","18"
"사비","초음파검사","Abdomen","6","신경과","3월","3"
"사비","초음파검사","Doppler","6","신경과","3월","45"
"사비","CT검사","Head & Neck","6","신경과","4월","5"
"사비","MRI검사","Head & Neck","6","신경과","4월","112"
"사비","PACS실","Others","6","신경과","4월","2"
"사비","일반검사","Abdomen","6","신경과","4월","1"
"사비","일반검사","Chest","6","신경과","4월","31"
"사비","초음파검사","Abdomen","6","신경과","4월","3"
"사비","초음파검사","Doppler","6","신경과","4월","7"
"사비","CT검사","Head & Neck","6","신경과","5월","7"
"사비","MRI검사","Head & Neck","6","신경과","5월","117"
"사비","PACS실","Others","6","신경과","5월","2"
"사비","일반검사","Chest","6","신경과","5월","24"
"사비","초음파검사","Abdomen","6","신경과","5월","1"
"사비","초음파검사","Doppler","6","신경과","5월","1"
"사비","CT검사","Head & Neck","6","신경과","6월","8"
"사비","MRI검사","Head & Neck","6","신경과","6월","107"
"사비","PACS실","Others","6","신경과","6월","2"
"사비","일반검사","Chest","6","신경과","6월","12"
"사비","CT검사","Head & Neck","6","신경과","7월","8"
"사비","MRI검사","Head & Neck","6","신경과","7월","80"
"사비","일반검사","Chest","6","신경과","7월","10"
"사비","CT검사","Head & Neck","6","신경과","8월","23"
"사비","MRI검사","Head & Neck","6","신경과","8월","25"
"사비","일반검사","Chest","6","신경과","8월","12"
"사비","일반검사","Spine","6","신경과","8월","2"
"사비","CT검사","Head & Neck","6","신경과","9월","17"
"사비","MRI검사","Head & Neck","6","신경과","9월","7"
"사비","일반검사","Abdomen","6","신경과","9월","1"
"사비","일반검사","Chest","6","신경과","9월","4"
"사비","일반검사","Lower. Ext.","6","신경과","9월","1"
"사비","일반검사","Spine","6","신경과","9월","8"
"사비","CT검사","Head & Neck","6","신경과","10월","8"
"사비","MRI검사","Head & Neck","6","신경과","10월","76"
"사비","기타","Abdomen","6","신경과","10월","1"
"사비","기타","Chest","6","신경과","10월","1"
"사비","일반검사","Abdomen","6","신경과","10월","1"
"사비","일반검사","Chest","6","신경과","10월","16"
"사비","초음파검사","Abdomen","6","신경과","10월","1"
"사비","초음파검사","Doppler","6","신경과","10월","4"
"사비","CT검사","Head & Neck","6","신경과","11월","6"
"사비","MRI검사","Head & Neck","6","신경과","11월","96"
"사비","PACS실","Others","6","신경과","11월","1"
"사비","일반검사","Abdomen","6","신경과","11월","2"
"사비","일반검사","Chest","6","신경과","11월","24"
"사비","초음파검사","Abdomen","6","신경과","11월","2"
"사비","초음파검사","Doppler","6","신경과","11월","9"
"사비","CT검사","Head & Neck","6","신경과","12월","13"
"사비","MRI검사","Head & Neck","6","신경과","12월","87"
"사비","MRI검사","Spine","6","신경과","12월","2"
"사비","일반검사","Chest","6","신경과","12월","22"
"사비","초음파검사","Doppler","6","신경과","12월","2"
"국비","일반검사","Abdomen","8","외과","1월","2"
"국비","일반검사","Chest","8","외과","1월","9"
"국비","초음파검사","Muscler skeletal","8","외과","1월","1"
"국비","CT검사","Abdomen & Pelvis","8","외과","2월","4"
"국비","MRI검사","Lower Ext.","8","외과","2월","1"
"국비","MRI검사","Upper Ext.","8","외과","2월","1"
"국비","일반검사","Abdomen","8","외과","2월","4"
"국비","일반검사","Chest","8","외과","2월","2"
"국비","초음파검사","Breast","8","외과","2월","1"
"국비","일반검사","Chest","8","외과","3월","2"
"국비","CT검사","Abdomen & Pelvis","8","외과","4월","3"
"국비","CT검사","Chest","8","외과","4월","1"
"국비","CT검사","Extremity","8","외과","4월","2"
"국비","CT검사","Head & Neck","8","외과","4월","2"
"국비","MRI검사","Spine","8","외과","4월","1"
"국비","기타","Chest","8","외과","4월","1"
"국비","일반검사","Abdomen","8","외과","4월","2"
"국비","일반검사","Chest","8","외과","4월","3"
"국비","CT검사","Chest","8","외과","5월","1"
"국비","CT검사","Head & Neck","8","외과","5월","1"
"국비","일반검사","Chest","8","외과","5월","1"
"국비","CT검사","Abdomen & Pelvis","8","외과","6월","1"
"국비","CT검사","Chest","8","외과","6월","1"
"국비","CT검사","Head & Neck","8","외과","6월","2"
"국비","기타","Chest","8","외과","6월","2"
"국비","수술실","Others","8","외과","6월","1"
"국비","일반검사","Chest","8","외과","6월","4"
"국비","CT검사","Extremity","8","외과","7월","2"
"국비","CT검사","Head & Neck","8","외과","7월","1"
"국비","기타","Chest","8","외과","7월","2"
"국비","일반검사","Abdomen","8","외과","7월","4"
"국비","일반검사","Chest","8","외과","7월","2"
"국비","CT검사","Abdomen & Pelvis","8","외과","8월","4"
"국비","기타","Chest","8","외과","8월","1"
"국비","수술실","Others","8","외과","8월","1"
"국비","일반검사","Abdomen","8","외과","8월","4"
"국비","일반검사","Chest","8","외과","8월","1"
"국비","수술실","Others","8","외과","9월","1"
"사비","CT검사","Abdomen & Pelvis","8","외과","1월","2"
"사비","CT검사","Chest","8","외과","1월","2"
"사비","CT검사","Extremity","8","외과","1월","1"
"사비","기타","Chest","8","외과","1월","1"
"사비","수술실","Others","8","외과","1월","2"
"사비","일반검사","Abdomen","8","외과","1월","22"
"사비","일반검사","Chest","8","외과","1월","6"
"사비","초음파검사","Breast","8","외과","1월","5"
"사비","초음파검사","Muscler skeletal","8","외과","1월","2"
"사비","CT검사","Abdomen & Pelvis","8","외과","2월","4"
"사비","PACS실","Others","8","외과","2월","1"
"사비","수술실","Others","8","외과","2월","1"
"사비","일반검사","Abdomen","8","외과","2월","4"
"사비","일반검사","Chest","8","외과","2월","6"
